iter	Passed	Remaining
133	10980	70963
134	11064	70896
135	11146	70812
136	11236	70782
137	11321	70719
138	11393	70573
139	11465	70428
140	11540	70307
141	11631	70278
142	11706	70156
143	11787	70068
144	11873	70010
145	11951	69906
146	12026	69788
147	12116	69750
148	12196	69658
149	12287	69631
150	12372	69562
151	12442	69416
152	12528	69355
153	12625	69357
154	12705	69264
155	12788	69190
156	12868	69097
157	12942	68974
158	13014	68837
159	13106	68808
160	13199	68787
161	13275	68669
162	13349	68551
163	13446	68546
164	13541	68529
165	13616	68409
166	13703	68353
167	13780	68246
168	13860	68153
169	13951	68117
170	14040	68070
171	14111	67934
172	14194	67854
173	14284	67809
174	14379	67789
175	14454	67675
176	14535	67585
177	14619	67511
178	14692	67386
179	14768	67280
180	14867	67275
181	14966	67265
182	15069	67279
183	15161	67238
184	15250	67186
185	15344	67152
186	15438	67118
187	15521	67040
188	15611	66988
189	15698	66925
190	15794	66899
191	15883	66844
192	15979	66814
193	16058	66716
194	16152	66682
195	16239	66615
196	16312	66490
197	16385	66368
198	16466	66278
199	16558	66235
200	16639	66143
201	16724	66070
202	16798	65952
203	16870	65828
204	16939	65693
205	17007	65552
206	17070	65396
207	17154	65320
208	17231	65214
209	17292	65052
210	17363	64927
211	17441	64828
212	17507	64687
213	17576	64557
214	17655	64464
215	17736	64377
216	17814	64281
217	17893	64187
218	17973	64097
219	18044	63977
220	18131	63911
221	18210	63817
222	18275	63676
223	18351	63573
224	18423	63457
225	18501	63361
226	18569	63235
227	18635	63098
228	18707	62984
229	18785	62889
230	18856	62772
231	18928	62660
232	19008	62573
233	19084	62472
234	19153	62349
235	19213	62199
236	19277	62062
237	19344	61933
238	19421	61840
239	19502	61759
240	19574	61647
241	19639	61516
242	19702	61377
243	19764	61238
244	19842	61146
245	19918	61051
246	19993	60952
247	20071	60861
248	20142	60751
249	20209	60627
250	20280	60517
251	20366	60451
252	20428	60317
253	20490	60179
254	20561	60070
255	20636	59973
256	20698	59840
257	20780	59763
258	20868	59706
259	20949	59624
260	21024	59527
261	21094	59417
262	21171	59329
263	21263	59279
264	21356	59234
265	21424	59119
266	21506	59041
267	21578	58938
268	21647	58827
269	21727	58745
270	21817	58689
271	21912	58648
272	22000	58587
273	22080	58504
274	22162	58429
275	22237	58333
276	22320	58259
277	22408	58197
278	22489	58118
279	22557	58005
280	22633	57912
281	22715	57835
282	22801	57768
283	22879	57681
284	22961	57606
285	23058	57566
286	23144	57499
287	23242	57459
288	23322	57377
289	23396	57281
290	23496	57248
291	23581	57177
292	23659	57089
293	23747	57026
294	23832	56956
295	23923	56898
296	24005	56821
297	24088	56746
298	24164	56654
299	24238	56556
300	24318	56472
301	24408	56414
302	24503	56366
303	24574	56262
304	24645	56159
305	24728	56083
306	24812	56010
307	24917	55984
308	24985	55873
309	25068	55798
310	25153	55726
311	25230	55637
312	25309	55551
313	25405	55504
314	25505	55463
315	25598	55408
316	25686	55344
317	25780	55290
318	25875	55239
319	25983	55213
320	26077	55160
321	26167	55097
322	26258	55038
323	26355	54988
324	26451	54938
325	26540	54872
326	26632	54812
327	26722	54747
328	26808	54675
329	26904	54624
330	27006	54585
331	27090	54508
332	27176	54434
333	27263	54362
334	27358	54307
335	27449	54245
336	27552	54206
337	27646	54147
338	27734	54079
339	27830	54023
340	27922	53961
341	28031	53931
342	28132	53885
343	28234	53842
344	28331	53787
345	28419	53717
346	28526	53682
347	28622	53625
348	28708	53551
349	28799	53483
350	28895	53427
351	28972	53335
352	29052	53248
353	29133	53165
354	29216	53083
355	29303	53009
356	29390	52936
357	29480	52867
358	29554	52769
359	29631	52677
360	29708	52587
361	29804	52528
362	29885	52443
363	29956	52341
364	30030	52245
365	30108	52155
366	30196	52082
367	30294	52027
368	30374	51941
369	30444	51838
370	30520	51744
371	30609	51674
372	30692	51592
373	30770	51503
374	30867	51446
375	30953	51369
376	31043	51299
377	31113	51197
378	31185	51097
379	31258	51001
380	31333	50906
381	31418	50828
382	31512	50765
383	31597	50688
384	31670	50590
385	31751	50506
386	31825	50411
387	31895	50310
388	31983	50235
389	32075	50169
390	32156	50084
391	32224	49980
392	32295	49881
393	32370	49787
394	32444	49692
395	32528	49614
396	32607	49526
397	32684	49436
398	32764	49351
